"indicator","ISO Country code","GDP ($ USD billions PPP) 2018","GDP ($ USD billions PPP) 2019","GDP ($ USD billions PPP) 2020","GDP ($ USD billions PPP) 2021","GDP per capita in $ (PPP) 2018","GDP per capita in $ (PPP) 2019","GDP per capita in $ (PPP) 2020","GDP per capita in $ (PPP) 2021","health expenditure % of GDP 2014","health expenditure % of GDP 2015","health expenditure % of GDP 2016","health expenditure % of GDP 2017","health expenditure % of GDP 2018","health expenditure % of GDP 2019","health expenditure % of GDP 2020","health expenditure % of GDP 2021","health expenditure % of GDP 2021 or latest","health expenditure per person 2015","health expenditure per person 2018","health expenditure per person 2019","unemployment (%) 2018","unemployment (%) 2021","Military Spending as % of GDP 2021","Military Spending as % of GDP 2019"
"Barbados","BRB","4.50","4.40","3.80","3.90","15,989","16,154","14,046","14,817","6.14","5.38","4.71","4.37","5.43","3.20","3.06","6.45","6.45","1,234","1,164.5","1,143.3","11.40","10.41","0.00%","0.00%"
"Belarus","BLR","179.10","181.60","180","184.50","19,428","20,093","20,238","21,699","4.82","4.79","4.95","4.79","5.38","4.98","4.95","0","4.95","1,085","351","399.40","0.50","4.74","1.16%","1.20%"
"Belgium","BEL","584.40","596.70","562.80","598","52,535","54,278","53,070","58,931","6.59","6.45","6.46","6.43","6.38","0","0","0","6.38","4,782","5,134.4","4,960.4","8.30","6.42","1.08%","0.90%"
"Belize","BLZ","2.70","2.80","2.30","2.60","7,319","7,455","6,166","6,921","6.61","6.87","7.29","7.45","7.47","7.14","7.53","8.71","8.71","524","286","293.40","11","8.22","1.25%","1.20%"
"Benin","BEN","36.30","38.80","40.30","42.90","3,236","3,426","3,505","3,789","3.16","3.17","2.90","3.54","2.93","2.97","3","0","3","84","31.10","29.10","1","1.57","0.56%","0.70%"
"Bhutan","BTN","8.60","9.10","8.10","8.30","11,620","12,366","11,129","11,800","6.04","7.59","6.99","7.23","6.85","5.68","0","0","5.68","287","102.70","116","2.40","4.33","0.00%","0.00%"
"Bolivia","BOL","98.30","100.40","91.70","97.30","8,862","9,093","8,283","9,030","8.26","8.94","8.85","8.66","8.90","0","0","0","8.90","446","235.70","245.90","3.70","8.51","1.54%","1.40%"
"Bosnia and Herzegovina","BIH","47.80","49.20","47.60","51","14,918","15,711","15,598","16,846","0","0","0","0","0","0","0","0","0","1,102","539.90","553.80","25.80","15.22","0.89%","0.90%"
"Botswana","BWA","36.60","37.80","34.50","38.40","16,610","17,097","15,471","17,604","0","7.81","7.97","7.30","6.72","6.91","8.74","0","8.74","970","494.20","481.50","18.40","24.72","2.86%","2.80%"
"Brazil","BRA","3,072.5","3,110.1","2,989.4","3,127.5","15,019","15,358","14,834","16,056","5.95","6.24","6.31","6.32","6.09","0","0","0","6.09","1,392","866.20","853.40","11.50","14.40","1.19%","1.50%"
"Brunei","BRN","25.90","26.90","27.20","26.80","61,832","64,719","65,607","66,620","3.35","0","4.43","0","0","0","0","0","0","2,083","763.10","671.60","2","7.65","3.26%","3.30%"
"Bulgaria","BGR","156","162.30","155.20","161.70","23,016","24,498","24,564","26,705","0","0","0","4.08","0","0","0","0","0","1,492","689.90","697.90","8","5.42","1.59%","3.20%"
